# instrument NDL485-1276896318
# measurement 060005
# version 3.4.7
#
# configuration=Site
# timezone=UTC+2
#
# configuration=Measurement
# storeperiod=day
# highresarchive=yes
# pollperiod=2
# statperiod=600
# pollexcitate=-1
# function="Windgeschwindigkeit (m/s)",{mean,max,min},"(a1*10) if (((a1*10)>=0) * ((a1*10)<=50))"
# function="Windrichtung (grad)",{mean,mean360},a2*360/5
# function="Temperatur (°C)",mean,"(a3*100-50) if (((a3*100-50)>=-30) * ((a3*100-50)<=45))"
# function="TempMax (°C)",max,"(a3*100-50) if (((a3*100-50)>=-30) * ((a3*100-50)<=45))"
# function="TempMin (°C)",min,"(a3*100-50) if (((a3*100-50)>=-30) * ((a3*100-50)<=45))"
# function="Luftfeuchte (%)",{mean,max,min},"(a4*100*0.96) if (((a4*100*0.96)>=3) * ((a4*100*0.96)<=105))"
# function="Erdoberflaechentemp (°C)",mean,"c3 if ((c3>=-30) * (c3<=45)) else #Erdoberflaechentemp else 0"
# function="Bodentemperatur (°C)",mean,"c2 if ((c2>=-30) * (c2<=45))"
# function="Blattnaesse (Hz)",max,"b15 if ((b15>=0) * (b15<=255))"
# function="Niederschlag (mm)",sum,"(0.1 * (b12>0))*1.0"
# function="NdKumul (mm)",max,"(DAYTIME>2)*((Niederschlag else 0) + #NdKumul) else Niederschlag"
# function="Globalstrahlung (W/m²)",{mean,max,min},"((b4*1300/5) if (((b4*1300/5)>=0) * ((b4*1300/5)<=1000)))*1.15"
# function="UVA (W/m²)",{mean,max,min},"(b2*300/5.03) if (((b2*300/5.03)>=0) * ((b2*300/5.03)<=300))"
# function="UVB (mW/m²)",{mean,max,min},"((b1*500/4.94) if (((b1*500/4.94)>=0) * ((b1*500/4.94)<=500)))*1"
# function="PAR (µmol/m²s)",{mean,max,min},"(b3*2000/5) if (((b3*2000/5)>=0) * ((b3*2000/5)<=2500))"
# function="Sonnenschein (JA/NEIN)",mean,"Globalstrahlung > 120"
# function="pDs (Pa)",mean,"611*2.7183^(17.081*Temperatur / (234.18+Temperatur))"
# function="pD (Pa)",mean,"pDs * Luftfeuchte / 100"
# function="facHaude (mm/(Pa*d))",mean,"0.0020*(MONTH<3)+0.0025*(MONTH==3)+0.0029*(MONTH==4)+0.0029*(MONTH==5)+0.0028*(MONTH==6)+ 0.0026*(MONTH==7)+0.0026*(MONTH==8)+0.0023*(MONTH==9)+0.0022*(MONTH==10)+0.0020*(MONTH>10)"
# function="Verdunstung (mm/d)",mean,"(facHaude * (pDs-pD))  if  (HOUR==14)*(MINUTE>=20)*(MINUTE<30)"
# function="Versorgung (V)",{mean,max,min},a21
# function=disBNASSnum,max,"(Blattnaesse else 166) * (Blattnaesse>=150) + (#disBNASSnum else Blattnaesse) * (Blattnaesse<150)"
# function=disBNASStxt,max,"(disBNASSnum<166) + 2*(disBNASSnum>=166)*(disBNASSnum<=212) + 3*(disBNASSnum>212)"
# function="BlattRegennass (h)",sum,"PERIOD/3600 if (disBNASStxt == 3) else 0"
# function="BlattTaunass (h)",sum,"PERIOD/3600 if (disBNASStxt == 2) else 0"
# function="BlattTrocken (h)",sum,"PERIOD/3600 if (disBNASStxt == 1) else 0"
# function=disWD,mean,"Windrichtung+5 - ((Windrichtung+5)%10)"
# function=disRAD,mean,"(Globalstrahlung/13) - ((Globalstrahlung/13)%5)"
# function=disUVA,mean,"(UVA/3) - ((UVA/3)%5)"
# function=disUVB,mean,"(UVB/50) - ((UVB/50)%5)"
# function=disPAR,mean,"(PAR/20)- ((PAR/20)%5)"
# function="Lufttemperatur (°C)",{mean,max,min},"(a3*100-50) if (((a3*100-50)>=-30) * ((a3*100-50)<=45))"
# function=debugSL,{mean,max,min},d1
# function="debugVerdunstung (mm/d)",{mean,max,min},"facHaude * (pDs-pD)"
# function="10HS15VWC (%)",mean,((2.97/10^9*(a5*1000)^3)-(7.37/10^6*(a5*1000)^2)+(6.69/10^3*(a5*1000))-1.92)*100
# function="Temperatur20cm (°C) ",mean,"(a6*100-50) if (((a6*100-50)>=-30) * ((a6*100-50)<=45))"
# function="MPS15kPa (kPa)",mean,2.718281^((4.80/10^5*(a8*1000)^2)-(8.46/10^2*(a8*1000))+39.45)*(-1)
# function="MPS15bar (bar)",mean,2.718281^((4.80/10^5*(a8*1000)^2)-(8.46/10^2*(a8*1000))+39.45)*(-1)/100
# function="ES15hPa (hPa)",mean,"(b6 * 400)-20"
# pollbaudrate=19200
# pollchardelay=0
# pollteledelay=100
# polltimeout=1
# pollretry=0
# poll=#01\r
# poll=#02\r
# poll=#03\r
# poll=sysload

"date","time","period","Windgeschwindigkeit (m/s)_mean","Windgeschwindigkeit (m/s)_max","Windgeschwindigkeit (m/s)_min","Windrichtung (grad)_mean360","Temperatur (°C)_mean","TempMax (°C)_max","TempMin (°C)_min","Luftfeuchte (%)_mean","Luftfeuchte (%)_max","Luftfeuchte (%)_min","Erdoberflaechentemp (°C)_mean","Bodentemperatur (°C)_mean","Blattnaesse (Hz)_max","Niederschlag (mm)_sum","NdKumul (mm)_max","Globalstrahlung (W/m²)_mean","Globalstrahlung (W/m²)_max","Globalstrahlung (W/m²)_min","UVA (W/m²)_mean","UVA (W/m²)_max","UVA (W/m²)_min","UVB (mW/m²)_mean","UVB (mW/m²)_max","UVB (mW/m²)_min","PAR (µmol/m²s)_mean","PAR (µmol/m²s)_max","PAR (µmol/m²s)_min","Sonnenschein (JA/NEIN)_mean","pDs (Pa)_mean","pD (Pa)_mean","facHaude (mm/(Pa*d))_mean","Verdunstung (mm/d)_mean","Versorgung (V)_mean","Versorgung (V)_max","Versorgung (V)_min","disBNASSnum_max","disBNASStxt_max","BlattRegennass (h)_sum","BlattTaunass (h)_sum","BlattTrocken (h)_sum","disWD_mean","disRAD_mean","disUVA_mean","disUVB_mean","disPAR_mean","Lufttemperatur (°C)_mean","Lufttemperatur (°C)_max","Lufttemperatur (°C)_min","debugSL_mean","debugSL_max","debugSL_min","debugVerdunstung (mm/d)_mean","debugVerdunstung (mm/d)_max","debugVerdunstung (mm/d)_min","10HS15VWC (%)_mean","Temperatur20cm (°C) _mean","MPS15kPa (kPa)_mean","MPS15bar (bar)_mean","ES15hPa (hPa)_mean"
2021-08-04,00:10:00,600,1.01185,1.782,0,260.558,13.1179,13.25,12.98,89.7742,89.856,89.6832,14.4268,20.3797,212.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511.97,1357.36,0.0026,nan,11.7688,11.77,11.76,212.59,3,0.0138889,0.152778,0,260.733,0,0,0,0,13.1179,13.25,12.98,0.778667,2.56,0,0.40199,0.40748,0.396225,3950.18,12.6216,-1.35804e+17,-1.35804e+15,-20
2021-08-04,00:20:00,600,0.975583,1.694,0.233,248.484,12.973,13.08,12.84,89.8688,89.9712,89.76,14.2498,20.362,213.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497.7,1345.96,0.0026,nan,11.7688,11.77,11.76,213.26,3,0.0277778,0.133889,0.00444445,248.3,0,0,0,0,12.973,13.08,12.84,0.1622,1.1,0,0.394515,0.400498,0.388521,3865.79,12.4243,-1.35804e+17,-1.35804e+15,-20
2021-08-04,00:30:00,600,0.796923,1.511,0,233.012,12.8241,12.99,12.66,89.9926,90.1632,89.856,14.0158,20.3546,212.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483.17,1334.74,0.0026,nan,11.7689,11.77,11.76,212.96,3,0.0416667,0.115556,0.0088889,233.167,0,0,0,0,12.8241,12.99,12.66,0.0867667,0.64,0,0.385912,0.393266,0.377232,3757.27,12.2094,-1.35804e+17,-1.35804e+15,-20
2021-08-04,00:40:00,600,0.80525,1.413,0,254.365,12.613,12.76,12.49,90.1253,90.3456,89.9712,13.9387,20.339,212.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462.75,1318.31,0.0026,nan,11.7683,11.77,11.76,212.81,3,0.0138889,0.140556,0.0105556,254.3,0,0,0,0,12.613,12.76,12.49,0.158,1.13,0,0.375552,0.383479,0.367109,3646.13,12.0361,-1.35804e+17,-1.35804e+15,-20
2021-08-04,00:50:00,600,1.04186,1.744,0.355,263.931,12.6566,12.78,12.53,90.3735,90.4992,90.192,13.9158,20.32,213.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466.95,1325.73,0.0026,nan,11.7689,11.77,11.76,213.59,3,0.0166667,0.138889,0.0105556,264.133,0,0,0,0,12.6566,12.78,12.53,0.124167,0.89,0,0.367158,0.373188,0.36186,3704.45,11.9991,-1.35804e+17,-1.35804e+15,-20
2021-08-04,01:00:00,600,1.1222,1.676,0.579,258.948,12.6218,12.76,12.43,90.4949,90.624,90.3072,13.8358,20.3014,213.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463.6,1324.48,0.0026,nan,11.7681,11.77,11.75,213.01,3,0.0138889,0.152778,0,258.933,0,0,0,0,12.6218,12.76,12.43,0.169967,1.23,0,0.361704,0.367591,0.355523,3605.7,11.9837,-1.35804e+17,-1.35804e+15,-20
2021-08-04,01:10:00,600,1.20486,1.945,0.656,263.653,12.6007,12.73,12.45,90.6289,90.7488,90.4512,13.799,20.285,213.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461.57,1324.6,0.0026,nan,11.769,11.77,11.75,213.82,3,0.0277778,0.138889,0,263.633,0,0,0,0,12.6007,12.73,12.45,0.928133,3.31,0,0.356108,0.362368,0.350649,4124.66,11.9563,-1.35804e+17,-1.35804e+15,-20
2021-08-04,01:20:00,600,1.20778,2.039,0.229,253.562,12.5485,12.66,12.44,90.6923,90.7872,90.5472,13.6781,20.2619,212.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456.56,1320.99,0.0026,nan,11.7687,11.77,11.75,212.97,3,0.0138889,0.152778,0,253.733,0,0,0,0,12.5485,12.66,12.44,0.0977,0.72,0,0.352491,0.357079,0.348013,4225.87,11.907,-1.35804e+17,-1.35804e+15,-20
2021-08-04,01:30:00,600,1.05655,1.916,0.352,248.532,12.4494,12.57,12.32,90.7109,90.816,90.6048,13.6125,20.246,212.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447.11,1312.69,0.0026,nan,11.7688,11.77,11.76,212.89,3,0.0138889,0.152778,0,248.4,0,0,0,0,12.4494,12.57,12.32,0.127767,0.77,0,0.349501,0.352912,0.345786,3919.27,11.8298,-1.35804e+17,-1.35804e+15,-20
2021-08-04,01:40:00,600,1.08419,1.851,0.442,254.419,12.3356,12.42,12.26,90.7454,90.8832,90.624,13.4886,20.2277,213.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436.32,1303.39,0.0026,nan,11.7688,11.77,11.76,213.52,3,0.0422223,0.124445,0,254.567,0,0,0,0,12.3356,12.42,12.26,0.1169,0.84,0,0.345605,0.350239,0.340557,3761.32,11.7106,-1.35804e+17,-1.35804e+15,-20
2021-08-04,01:50:00,600,1.03569,1.633,0.342,262.29,12.3405,12.43,12.24,90.8281,90.9312,90.7104,13.5683,20.2066,212.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436.78,1305,0.0026,nan,11.7688,11.77,11.76,212.86,3,0.0138889,0.152778,0,262.333,0,0,0,0,12.3405,12.43,12.24,0.122067,0.87,0,0.342629,0.347041,0.338454,3707.77,11.6937,-1.35804e+17,-1.35804e+15,-20
2021-08-04,02:00:00,600,1.10792,1.909,0.265,259.047,12.26,12.39,12.15,90.8291,90.9216,90.7296,13.446,20.1895,212.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429.19,1298.12,0.0026,nan,11.7689,11.77,11.76,212.49,3,0.0138889,0.152222,0,259.367,0,0,0,0,12.26,12.39,12.15,0.133133,0.97,0,0.340779,0.345026,0.337031,3615.31,11.6349,-1.35804e+17,-1.35804e+15,-20
2021-08-04,02:10:00,600,1.19606,1.798,0.382,263.892,12.2594,12.36,12.14,90.8868,90.9696,90.7872,13.4272,20.1645,212.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429.12,1298.89,0.0026,nan,11.7687,11.77,11.76,212.25,3,0.0144445,0.148333,0.00333334,264.033,0,0,0,0,12.2594,12.36,12.14,0.828967,2.86,0,0.338618,0.341885,0.335116,3495.08,11.5974,-1.35804e+17,-1.35804e+15,-20
